id,video_id,frame_id,sensor_z_score,sensor_min_max,predicted,ground_truth
0_650,0,650,-1.0813170675566173,0.013333333333333336,False,False
0_675,0,675,-1.0813170675566173,0.013333333333333336,False,False
0_700,0,700,-1.0813170675566173,0.013333333333333336,False,False
0_725,0,725,-0.9937692595422224,0.026666666666666672,False,False
0_1600,0,1600,-1.0813170675566173,0.013333333333333336,False,True
0_1625,0,1625,-0.9937692595422224,0.026666666666666672,False,False
0_1650,0,1650,-1.0813170675566173,0.013333333333333336,False,False
0_1675,0,1675,-1.0813170675566173,0.013333333333333336,False,False
0_1700,0,1700,-1.1688648755710123,0.0,False,False
0_1725,0,1725,-1.1688648755710123,0.0,False,False
0_1750,0,1750,-1.1688648755710123,0.0,False,False
0_1775,0,1775,-1.1688648755710123,0.0,False,False
0_1800,0,1800,-1.1688648755710123,0.0,False,False
0_1825,0,1825,-1.1688648755710123,0.0,False,False
0_1850,0,1850,-1.1688648755710123,0.0,False,False
0_1875,0,1875,-1.1688648755710123,0.0,False,False
0_1900,0,1900,-1.1688648755710123,0.0,False,False
0_1925,0,1925,-1.1688648755710123,0.0,False,False
0_1950,0,1950,-1.1688648755710123,0.0,False,False
0_1975,0,1975,-1.1688648755710123,0.0,False,False
0_2000,0,2000,-1.1688648755710123,0.0,False,False
0_2025,0,2025,-1.1688648755710123,0.0,False,False
0_2050,0,2050,-1.1688648755710123,0.0,False,False
0_2075,0,2075,-1.1688648755710123,0.0,False,False
0_2100,0,2100,-1.1688648755710123,0.0,False,False
0_2125,0,2125,-1.1688648755710123,0.0,False,False
0_2150,0,2150,-1.1688648755710123,0.0,False,False
0_2175,0,2175,-1.1688648755710123,0.0,False,False
0_2200,0,2200,-1.1688648755710123,0.0,False,False
0_2225,0,2225,-1.1688648755710123,0.0,False,False
0_2250,0,2250,-1.1688648755710123,0.0,False,False
0_2275,0,2275,-1.1688648755710123,0.0,False,False
0_2300,0,2300,-1.1688648755710123,0.0,False,False
0_2325,0,2325,-1.1688648755710123,0.0,False,False
0_2350,0,2350,-1.1688648755710123,0.0,True,False
0_2375,0,2375,-1.1688648755710123,0.0,True,False
0_2400,0,2400,-1.1688648755710123,0.0,True,False
0_2425,0,2425,-1.1688648755710123,0.0,True,True
0_2450,0,2450,-1.1688648755710123,0.0,False,True
0_2475,0,2475,-1.1688648755710123,0.0,False,True
0_2500,0,2500,-1.1688648755710123,0.0,False,True
0_2525,0,2525,-1.1688648755710123,0.0,False,True
0_2550,0,2550,-1.1688648755710123,0.0,False,True
0_2575,0,2575,-1.1688648755710123,0.0,False,False
0_2600,0,2600,-1.1688648755710123,0.0,False,False
0_2625,0,2625,-1.0813170675566173,0.013333333333333336,False,False
0_2650,0,2650,-1.0813170675566173,0.013333333333333336,False,False
